time,Avior,Josephine
1032,534,5
1033,233,5
1034,369,9
1035,540,280
1036,263,360
1037,290,110
1038,7,0
1039,151,9
1040,211,0
1041,176,191
1042,56,9
1043,64,197
1044,386,69
1045,455,0
1046,614,0
1047,349,235
1048,653,63
1049,499,51
1050,1482,671
1051,579,1040
1052,152,76
1053,322,171
1054,361,393
1055,464,215
1056,616,62
1057,642,53
1058,586,114
1059,192,282
1060,20,38
1061,0,0
1062,33,10
1063,297,34
1064,703,360
1065,519,53
1066,635,64
1067,65,202
1068,357,439
1069,520,332
1070,1189,352
1071,611,22
1072,560,298
1073,817,0
1074,431,265
1075,735,60
1076,683,200
1077,329,10
1078,842,6
1079,360,14
1080,356,0
1081,80,0
1082,24,0
1083,18,0
1084,0,0
1085,6,0
1086,61,7
1087,0,397
1088,1301,1340
1089,202,192
1090,582,0
1091,915,186
1092,455,190
1093,434,287
1094,539,510
1095,781,20
1096,635,25
1097,609,5
1098,574,26
1099,220,159
1100,677,40
1101,356,14
1102,523,23
1103,496,24
1104,261,18
1105,370,224
1106,618,257
1107,435,177
1108,204,0
1109,354,306
1110,208,462
1111,5,106
1112,34,243
1113,0,84
1114,0,0
1115,509,0
1116,891,129
1117,187,265
1118,328,427
1119,311,75
1120,91,55
1121,5,0
1122,37,0
1123,0,0
1124,0,0
1125,0,0
1126,0,0
1127,0,0
1128,0,0
1129,5,0
1130,0,0
1131,0,0
1132,0,0
1133,0,0
1134,0,0
1135,0,0
1136,0,0
1137,0,0
1138,0,0
1139,0,0
1140,0,0
1141,0,35
1142,0,131
1143,0,0
1144,0,0
1145,0,0
1146,0,0
1147,0,0
1148,0,6
1149,0,0
1150,0,0
1151,0,0
1152,5,0
1153,0,0
1154,0,0
1155,0,0
1156,0,0
1157,0,0
1158,0,7
1159,0,0
1160,0,0
1161,0,0
1162,0,0
1163,0,0
1164,0,0
1165,0,0
1166,0,0
1167,0,4
1168,0,14
1169,0,10
1170,13,19
1171,56,42
1172,0,0
1173,0,0
1174,0,0
1175,5,47
1176,0,0
1177,0,0
1178,0,213
1179,0,132
1180,0,10
1181,86,10
1182,0,4
1183,0,0
1184,0,0
1185,15,0
1186,15,40
1187,26,0
1188,0,0
1189,0,0
1190,0,0
1191,0,0
1192,16,14
1193,24,20
1194,0,0
1195,0,0
1196,0,0
1197,0,0
1198,0,0
1199,0,0
1200,0,0
1201,0,0
1202,0,0
1203,0,0
1204,0,0
1205,0,0
1206,0,0
1207,0,0
1208,0,0
1209,0,0
1210,0,0
1211,0,0
1212,0,0
1213,0,0
1214,0,0
1215,0,0
1216,14,0
1217,0,0
1218,0,0
1219,0,0
1220,0,0
1221,0,0
1222,0,31
1223,0,0
1224,0,0
1225,61,9
1226,0,0
1227,6,0
1228,0,0
1229,0,0
1230,0,0
1231,0,0
1232,0,0
1233,0,0
1234,0,0
1235,0,9
1236,0,0
1237,0,0
1238,0,0
1239,0,0
1240,0,0
1241,0,0
1242,0,0
1243,0,0
1244,0,0
1245,0,0
1246,0,0
1247,0,0
1248,0,0
1249,0,0
1250,0,0
1251,0,10
1252,0,0
1253,0,0
1254,0,0
1255,0,0
1256,0,0
1257,0,0
1258,0,0
1259,0,0
1260,0,0
1261,0,205
1262,9,127
1263,0,119
1264,0,174
1265,0,246
1266,0,98
1267,0,5
1268,0,4
1269,0,0
1270,0,0
1271,0,0
1272,0,0
1273,0,16
1274,0,14
1275,0,0
1276,0,0
1277,0,0
1278,0,0
1279,0,0
1280,0,5
1281,5,0
1282,0,4
1283,0,0
1284,0,0
1285,0,0
1286,0,0
1287,0,19
1288,0,201
1289,0,96
1290,26,138
1291,0,0
1292,0,0
1293,0,211
1294,0,9
1295,136,5
1296,39,0
1297,48,0
1298,46,0
1299,11,0
1300,0,0
1301,12,0
1302,27,0
1303,36,0
1304,6,0
1305,9,14
1306,0,0
1307,0,142
1308,0,288
1309,15,0
1310,0,16
1311,65,4
1312,9,0
1313,0,0
1314,0,0
1315,0,0
1316,0,0
1317,0,0
1318,0,0
1319,0,0
1320,0,0
1321,0,0
1322,0,0
1323,0,0
1324,0,0
1325,0,0
1326,0,0
1327,0,0
1328,0,0
1329,130,0
1330,126,0
1331,302,0
1332,167,0
1333,367,0
1334,171,0
1335,4,0
1336,96,0
1337,244,0
1338,217,61
1339,286,0
1340,422,0
1341,276,0
1342,121,0
1343,183,0
1344,99,0
1345,28,0
1346,35,0
1347,5,0
1348,64,0
1349,0,0
1350,0,0
1351,0,0
1352,0,0
1353,54,0
1354,0,0
1355,0,0
1356,0,0
1357,0,0
1358,43,0
1359,0,0
1360,0,0
1361,0,0
1362,0,0
1363,0,0
1364,0,0
1365,0,0
1366,0,0
1367,0,0
1368,0,0
1369,0,0
1370,11,0
1371,0,0
1372,35,0
1373,0,0
1374,29,0
1375,6,337
1376,0,0
1377,0,0
1378,0,0
1379,0,7
1380,0,29
1381,11,129
1382,9,145
1383,0,325
1384,0,235
1385,7,6
1386,0,0
1387,0,0
1388,0,0
1389,6,0
1390,0,0
1391,24,0
1392,0,0
1393,0,0
1394,0,0
1395,24,0
1396,20,0
1397,0,0
1398,57,0
1399,0,0
1400,0,0
1401,0,0
1402,48,0
1403,0,0
1404,0,0
1405,0,0
1406,0,0
1407,0,21
1408,0,0
1409,0,12
1410,0,0
1411,0,0
1412,0,0
1413,0,0
1414,0,0
1415,0,0
1416,0,24
1417,0,0
1418,0,0
1419,0,0
1420,0,0
1421,0,0
