time,Persephone,Teres
2039,4,0
2040,539,315
2041,202,148
2042,545,411
2043,320,0
2044,14,6
2045,510,252
2046,87,242
2047,40,34
2048,223,141
2049,156,263
2050,65,5
2051,598,414
2052,726,15
2053,422,534
2054,285,774
2055,630,875
2056,260,322
2057,342,355
2058,696,705
2059,236,121
2060,207,118
2061,435,365
2062,313,259
2063,199,119
2064,64,179
2065,469,160
2066,363,199
2067,70,282
2068,112,130
2069,736,152
2070,137,510
2071,124,49
2072,162,255
2073,8,18
2074,47,182
2075,557,544
2076,329,179
2077,710,381
2078,70,109
2079,45,116
2080,37,429
2081,788,576
2082,112,350
2083,81,352
2084,54,387
2085,10,6
2086,0,4
2087,106,5
2088,4,0
2089,4,0
2090,413,59
2091,0,218
2092,210,32
2093,461,101
2094,219,0
2095,35,0
2096,304,0
2097,354,199
2098,744,288
2099,450,45
2100,591,439
2101,443,291
2102,420,326
2103,640,424
2104,242,283
2105,0,7
2106,0,0
2107,0,0
2108,9,0
2109,0,0
2110,0,0
2111,8,0
2112,0,0
2113,0,0
2114,4,0
2115,12,0
2116,0,0
2117,25,11
2118,0,0
2119,0,0
2120,93,127
2121,810,61
2122,506,235
2123,322,128
2124,212,109
2125,324,642
2126,82,16
2127,32,4
2128,22,0
2129,51,0
2130,137,13
